Implementation,Complie,Error
human_eval_035_2.mlw,"['=======================TestCases=====================', '', '    For the given implementation, some of testcases failed. Here are the list of failed testcases:', '    for input Cons ((Cons 7 (Cons 7 (Cons 3 (Cons 5 (Cons 7 (Cons 2 (Cons 7 (Cons 1 (Cons 7 (Nil)))))))))); the output we obtained with current implementation is 7; but the expected output is 7)', 'for input Cons ((Cons 0 (Cons (-10) (Cons 10 (Cons (-10) (Cons 0 (Nil)))))); the output we obtained with current implementation is 10; but the expected output is 10)', ' ', '    Please revise the current implementation to fix the problem.']","=======================TestCases=====================

    For the given implementation, some of testcases failed. Here are the list of failed testcases:
    for input Cons ((Cons 7 (Cons 7 (Cons 3 (Cons 5 (Cons 7 (Cons 2 (Cons 7 (Cons 1 (Cons 7 (Nil)))))))))); the output we obtained with current implementation is 7; but the expected output is 7)
for input Cons ((Cons 0 (Cons (-10) (Cons 10 (Cons (-10) (Cons 0 (Nil)))))); the output we obtained with current implementation is 10; but the expected output is 10)
 
    Please revise the current implementation to fix the problem.
"
human_eval_008_2.mlw,"[""unbound type symbol 'acc_s'""]","unbound type symbol 'acc_s'
"
human_eval_052_5.mlw,[],
human_eval_031_6.mlw,['Module List not found in library int'],"Module List not found in library int
"
human_eval_031_2.mlw,['Module Division not found in library int'],"Module Division not found in library int
"
human_eval_052_1.mlw,[],
human_eval_008_6.mlw,"[""unbound function or predicate symbol 'fold_left'""]","unbound function or predicate symbol 'fold_left'
"
human_eval_152_4.mlw,"[""unbound type symbol 'x'""]","unbound type symbol 'x'
"
human_eval_035_6.mlw,"['=======================TestCases=====================', '', '    For the given implementation, some of testcases failed. Here are the list of failed testcases:', '    for input Cons ((Cons 7 (Cons 7 (Cons 3 (Cons 5 (Cons 7 (Cons 2 (Cons 7 (Cons 1 (Cons 7 (Nil)))))))))); the output we obtained with current implementation is 7; but the expected output is 7)', 'for input Cons ((Cons 0 (Cons (-10) (Cons 10 (Cons (-10) (Cons 0 (Nil)))))); the output we obtained with current implementation is 10; but the expected output is 10)', ' ', '    Please revise the current implementation to fix the problem.']","=======================TestCases=====================

    For the given implementation, some of testcases failed. Here are the list of failed testcases:
    for input Cons ((Cons 7 (Cons 7 (Cons 3 (Cons 5 (Cons 7 (Cons 2 (Cons 7 (Cons 1 (Cons 7 (Nil)))))))))); the output we obtained with current implementation is 7; but the expected output is 7)
for input Cons ((Cons 0 (Cons (-10) (Cons 10 (Cons (-10) (Cons 0 (Nil)))))); the output we obtained with current implementation is 10; but the expected output is 10)
 
    Please revise the current implementation to fix the problem.
"
human_eval_035_7.mlw,"[""Type mismatch between list.List.list int and list.List.list 'a""]","Type mismatch between list.List.list int and list.List.list 'a
"
human_eval_152_5.mlw,['syntax error'],"syntax error
"
human_eval_008_7.mlw,['Logical symbol fold_right is used in a non-ghost context'],"Logical symbol fold_right is used in a non-ghost context
"
human_eval_031_3.mlw,['Module Division not found in library int'],"Module Division not found in library int
"
human_eval_052_2.mlw,[],
human_eval_031_1.mlw,['Module Division not found in library int'],"Module Division not found in library int
"
human_eval_008_5.mlw,[],
human_eval_152_7.mlw,['syntax error'],"syntax error
"
human_eval_035_5.mlw,['Logical symbol fold_left is used in a non-ghost context'],"Logical symbol fold_left is used in a non-ghost context
"
human_eval_057_10.mlw,"['=======================TestCases=====================', '', '    For the given implementation, some of testcases failed. Here are the list of failed testcases:', '    for input the output we obtained with current implementation is Cons ((Cons 10 (Cons 5 (Cons 15 (Cons 2 (Cons 20 (Nil)))))), true, false); but the expected output is Cons ((Cons 10 (Cons 5 (Cons 15 (Cons 2 (Cons 20 (Nil)))))), true, false)', 'for input Cons ((Cons 1 (Cons 3 (Cons 2 (Nil)))); the output we obtained with current implementation is true; but the expected output is false)', 'for input Cons ((Cons 1 (Cons 20 (Cons 4 (Cons 10 (Nil))))); the output we obtained with current implementation is true; but the expected output is false)', ' ', '    Please revise the current implementation to fix the problem.']","=======================TestCases=====================

    For the given implementation, some of testcases failed. Here are the list of failed testcases:
    for input the output we obtained with current implementation is Cons ((Cons 10 (Cons 5 (Cons 15 (Cons 2 (Cons 20 (Nil)))))), true, false); but the expected output is Cons ((Cons 10 (Cons 5 (Cons 15 (Cons 2 (Cons 20 (Nil)))))), true, false)
for input Cons ((Cons 1 (Cons 3 (Cons 2 (Nil)))); the output we obtained with current implementation is true; but the expected output is false)
for input Cons ((Cons 1 (Cons 20 (Cons 4 (Cons 10 (Nil))))); the output we obtained with current implementation is true; but the expected output is false)
 
    Please revise the current implementation to fix the problem.
"
human_eval_035_4.mlw,"['absurd has failed', '- Term: false', '- Variables:']","absurd has failed
- Term: false
- Variables:
"
human_eval_152_6.mlw,"[""unbound type symbol 'x'""]","unbound type symbol 'x'
"
human_eval_008_4.mlw,"[""unbound function or predicate symbol 'nth_my'""]","unbound function or predicate symbol 'nth_my'
"
human_eval_052_3.mlw,"[""unbound function or predicate symbol 'nth_my'""]","unbound function or predicate symbol 'nth_my'
"
human_eval_138_10.mlw,"['=======================TestCases=====================', '', '    For the given implementation, some of testcases failed. Here are the list of failed testcases:', '    for input the output we obtained with current implementation is Cons (100, false, true); but the expected output is Cons (100, false, true)', 'for input the output we obtained with current implementation is Cons (20, false, true); but the expected output is Cons (20, false, true)', 'for input the output we obtained with current implementation is Cons (12, false, true); but the expected output is Cons (12, false, true)', 'for input Cons (10; the output we obtained with current implementation is false; but the expected output is true)', ' ', '    Please revise the current implementation to fix the problem.']","=======================TestCases=====================

    For the given implementation, some of testcases failed. Here are the list of failed testcases:
    for input the output we obtained with current implementation is Cons (100, false, true); but the expected output is Cons (100, false, true)
for input the output we obtained with current implementation is Cons (20, false, true); but the expected output is Cons (20, false, true)
for input the output we obtained with current implementation is Cons (12, false, true); but the expected output is Cons (12, false, true)
for input Cons (10; the output we obtained with current implementation is false; but the expected output is true)
 
    Please revise the current implementation to fix the problem.
"
human_eval_009_3.mlw,"[""unbound function or predicate symbol 'nth_my'""]","unbound function or predicate symbol 'nth_my'
"
human_eval_151_3.mlw,"[""unbound function or predicate symbol 'nth_my'""]","unbound function or predicate symbol 'nth_my'
"
human_eval_030_7.mlw,['Module Filter not found in library list'],"Module Filter not found in library list
"
human_eval_053_4.mlw,['syntax error'],"syntax error
"
human_eval_053_5.mlw,"['rosetta error: could not find free space for allocation size 399999999c000', ' /usr/local/bin/why3-wrapper.sh: line 8:    31 Trace/breakpoint trap   why3 ""$@""']","rosetta error: could not find free space for allocation size 399999999c000
 /usr/local/bin/why3-wrapper.sh: line 8:    31 Trace/breakpoint trap   why3 ""$@""
"
human_eval_151_2.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_030_6.mlw,['Module Filter not found in library list'],"Module Filter not found in library list
"
human_eval_097_1.mlw,"['This expression has type int, it cannot be applied']","This expression has type int, it cannot be applied
"
human_eval_009_2.mlw,"[""unbound function or predicate symbol '(++)'""]","unbound function or predicate symbol '(++)'
"
human_eval_057_1.mlw,"[""unbound function or predicate symbol '(<=)'""]","unbound function or predicate symbol '(<=)'
"
human_eval_159_9.mlw,[],
human_eval_060_8.mlw,[],
human_eval_138_8.mlw,['syntax error'],"syntax error
"
human_eval_057_3.mlw,[],
human_eval_030_10.mlw,"[""unbound function or predicate symbol 'reverse'""]","unbound function or predicate symbol 'reverse'
"
human_eval_097_3.mlw,"['This expression has type int, it cannot be applied']","This expression has type int, it cannot be applied
"
human_eval_053_7.mlw,"['=======================TestCases=====================', '', '    For the given implementation, some of testcases failed. Here are the list of failed testcases:', '    for input the output we obtained with current implementation is Cons ((-10), (-20), (-10), (-30)); but the expected output is Cons ((-10), (-20), (-10), (-30))', 'for input the output we obtained with current implementation is Cons (100, (-50), 100, 50); but the expected output is Cons (100, (-50), 100, 50)', ' ', '    Please revise the current implementation to fix the problem.']","=======================TestCases=====================

    For the given implementation, some of testcases failed. Here are the list of failed testcases:
    for input the output we obtained with current implementation is Cons ((-10), (-20), (-10), (-30)); but the expected output is Cons ((-10), (-20), (-10), (-30))
for input the output we obtained with current implementation is Cons (100, (-50), 100, 50); but the expected output is Cons (100, (-50), 100, 50)
 
    Please revise the current implementation to fix the problem.
"
human_eval_053_10.mlw,['anomaly: Stack overflow'],"anomaly: Stack overflow
"
human_eval_030_4.mlw,"[""unbound function or predicate symbol 'nth'""]","unbound function or predicate symbol 'nth'
"
human_eval_030_5.mlw,"[""unbound function or predicate symbol 'nth'""]","unbound function or predicate symbol 'nth'
"
human_eval_151_1.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_053_6.mlw,"['=======================TestCases=====================', '', '    For the given implementation, some of testcases failed. Here are the list of failed testcases:', '    for input the output we obtained with current implementation is Cons ((-10), (-20), (-10), (-30)); but the expected output is Cons ((-10), (-20), (-10), (-30))', 'for input the output we obtained with current implementation is Cons (100, (-50), 100, 50); but the expected output is Cons (100, (-50), 100, 50)', ' ', '    Please revise the current implementation to fix the problem.']","=======================TestCases=====================

    For the given implementation, some of testcases failed. Here are the list of failed testcases:
    for input the output we obtained with current implementation is Cons ((-10), (-20), (-10), (-30)); but the expected output is Cons ((-10), (-20), (-10), (-30))
for input the output we obtained with current implementation is Cons (100, (-50), 100, 50); but the expected output is Cons (100, (-50), 100, 50)
 
    Please revise the current implementation to fix the problem.
"
human_eval_097_2.mlw,"['This expression has type int, it cannot be applied']","This expression has type int, it cannot be applied
"
human_eval_009_1.mlw,[],
human_eval_057_2.mlw,"['=======================TestCases=====================', '', '    For the given implementation, some of testcases failed. Here are the list of failed testcases:', '    for input the output we obtained with current implementation is Cons ((Cons 10 (Cons 5 (Cons 15 (Cons 2 (Cons 20 (Nil)))))), true, false); but the expected output is Cons ((Cons 10 (Cons 5 (Cons 15 (Cons 2 (Cons 20 (Nil)))))), true, false)', 'for input Cons ((Cons 1 (Cons 3 (Cons 2 (Nil)))); the output we obtained with current implementation is true; but the expected output is false)', 'for input Cons ((Cons 1 (Cons 20 (Cons 4 (Cons 10 (Nil))))); the output we obtained with current implementation is true; but the expected output is false)', ' ', '    Please revise the current implementation to fix the problem.']","=======================TestCases=====================

    For the given implementation, some of testcases failed. Here are the list of failed testcases:
    for input the output we obtained with current implementation is Cons ((Cons 10 (Cons 5 (Cons 15 (Cons 2 (Cons 20 (Nil)))))), true, false); but the expected output is Cons ((Cons 10 (Cons 5 (Cons 15 (Cons 2 (Cons 20 (Nil)))))), true, false)
for input Cons ((Cons 1 (Cons 3 (Cons 2 (Nil)))); the output we obtained with current implementation is true; but the expected output is false)
for input Cons ((Cons 1 (Cons 20 (Cons 4 (Cons 10 (Nil))))); the output we obtained with current implementation is true; but the expected output is false)
 
    Please revise the current implementation to fix the problem.
"
human_eval_138_9.mlw,"[""unbound function or predicate symbol '(<)'""]","unbound function or predicate symbol '(<)'
"
human_eval_060_9.mlw,['anomaly: Stack overflow'],"anomaly: Stack overflow
"
human_eval_159_8.mlw,[],
human_eval_151_10.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_057_6.mlw,"['=======================TestCases=====================', '', '    For the given implementation, some of testcases failed. Here are the list of failed testcases:', '    for input the output we obtained with current implementation is Cons ((Cons 10 (Cons 5 (Cons 15 (Cons 2 (Cons 20 (Nil)))))), true, false); but the expected output is Cons ((Cons 10 (Cons 5 (Cons 15 (Cons 2 (Cons 20 (Nil)))))), true, false)', 'for input Cons ((Cons 1 (Cons 3 (Cons 2 (Nil)))); the output we obtained with current implementation is true; but the expected output is false)', 'for input Cons ((Cons 1 (Cons 20 (Cons 4 (Cons 10 (Nil))))); the output we obtained with current implementation is true; but the expected output is false)', ' ', '    Please revise the current implementation to fix the problem.']","=======================TestCases=====================

    For the given implementation, some of testcases failed. Here are the list of failed testcases:
    for input the output we obtained with current implementation is Cons ((Cons 10 (Cons 5 (Cons 15 (Cons 2 (Cons 20 (Nil)))))), true, false); but the expected output is Cons ((Cons 10 (Cons 5 (Cons 15 (Cons 2 (Cons 20 (Nil)))))), true, false)
for input Cons ((Cons 1 (Cons 3 (Cons 2 (Nil)))); the output we obtained with current implementation is true; but the expected output is false)
for input Cons ((Cons 1 (Cons 20 (Cons 4 (Cons 10 (Nil))))); the output we obtained with current implementation is true; but the expected output is false)
 
    Please revise the current implementation to fix the problem.
"
human_eval_009_5.mlw,"[""unbound function or predicate symbol '(++)'""]","unbound function or predicate symbol '(++)'
"
human_eval_097_6.mlw,"['This expression has type int, it cannot be applied']","This expression has type int, it cannot be applied
"
human_eval_053_2.mlw,[],
human_eval_151_5.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_030_1.mlw,[],
human_eval_005_8.mlw,"[""Type mismatch between list.List.list int and list.List.list 'a""]","Type mismatch between list.List.list int and list.List.list 'a
"
human_eval_151_4.mlw,"[""unbound function or predicate symbol 'nth_my'""]","unbound function or predicate symbol 'nth_my'
"
human_eval_005_9.mlw,['Logical symbol fold_right is used in a non-ghost context'],"Logical symbol fold_right is used in a non-ghost context
"
human_eval_008_10.mlw,"[""unbound function or predicate symbol 'sum_product'""]","unbound function or predicate symbol 'sum_product'
"
human_eval_053_3.mlw,"['Fatal error: out of memory', '/usr/local/bin/why3-wrapper.sh: line 8:    31 Aborted                 why3 ""$@""']","Fatal error: out of memory
/usr/local/bin/why3-wrapper.sh: line 8:    31 Aborted                 why3 ""$@""
"
human_eval_097_7.mlw,"['This expression has type int, it cannot be applied']","This expression has type int, it cannot be applied
"
human_eval_009_4.mlw,"[""unbound function or predicate symbol 'nth_my'""]","unbound function or predicate symbol 'nth_my'
"
human_eval_057_7.mlw,"[""unbound function or predicate symbol 'for_all'""]","unbound function or predicate symbol 'for_all'
"
human_eval_057_5.mlw,[],
human_eval_009_6.mlw,[],
human_eval_042_9.mlw,"['=======================TestCases=====================', '', '    For the given implementation, some of testcases failed. Here are the list of failed testcases:', '    for input Cons ((Cons 5 (Cons 3 (Cons 5 (Cons 2 (Cons 3 (Cons 3 (Cons 9 (Cons 0 (Cons 123 (Nil)))))))))); the output we obtained with current implementation is (Cons 124 (Cons 1 (Cons 10 (Cons 4 (Cons 4 (Cons 3 (Cons 6 (Cons 4 (Cons 6 (Nil)))))))))); but the expected output is (Cons 6 (Cons 4 (Cons 6 (Cons 3 (Cons 4 (Cons 4 (Cons 10 (Cons 1 (Cons 124 (Nil)))))))))))', 'for input Cons ((Cons (-1) (Cons 0 (Cons 1 (Nil)))); the output we obtained with current implementation is (Cons 2 (Cons 1 (Cons 0 (Nil)))); but the expected output is (Cons 0 (Cons 1 (Cons 2 (Nil)))))', 'for input Cons ((Cons 1 (Cons 2 (Cons 3 (Nil)))); the output we obtained with current implementation is (Cons 4 (Cons 3 (Cons 2 (Nil)))); but the expected output is (Cons 2 (Cons 3 (Cons 4 (Nil)))))', ' ', '    Please revise the current implementation to fix the problem.']","=======================TestCases=====================

    For the given implementation, some of testcases failed. Here are the list of failed testcases:
    for input Cons ((Cons 5 (Cons 3 (Cons 5 (Cons 2 (Cons 3 (Cons 3 (Cons 9 (Cons 0 (Cons 123 (Nil)))))))))); the output we obtained with current implementation is (Cons 124 (Cons 1 (Cons 10 (Cons 4 (Cons 4 (Cons 3 (Cons 6 (Cons 4 (Cons 6 (Nil)))))))))); but the expected output is (Cons 6 (Cons 4 (Cons 6 (Cons 3 (Cons 4 (Cons 4 (Cons 10 (Cons 1 (Cons 124 (Nil)))))))))))
for input Cons ((Cons (-1) (Cons 0 (Cons 1 (Nil)))); the output we obtained with current implementation is (Cons 2 (Cons 1 (Cons 0 (Nil)))); but the expected output is (Cons 0 (Cons 1 (Cons 2 (Nil)))))
for input Cons ((Cons 1 (Cons 2 (Cons 3 (Nil)))); the output we obtained with current implementation is (Cons 4 (Cons 3 (Cons 2 (Nil)))); but the expected output is (Cons 2 (Cons 3 (Cons 4 (Nil)))))
 
    Please revise the current implementation to fix the problem.
"
human_eval_097_5.mlw,"['This expression has type int, it cannot be applied']","This expression has type int, it cannot be applied
"
human_eval_030_2.mlw,"[""unbound function or predicate symbol 'reverse'""]","unbound function or predicate symbol 'reverse'
"
human_eval_151_6.mlw,['Module Filter not found in library list'],"Module Filter not found in library list
"
human_eval_053_1.mlw,[],
human_eval_030_3.mlw,['Logical symbol fold_left is used in a non-ghost context'],"Logical symbol fold_left is used in a non-ghost context
"
human_eval_151_7.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_097_4.mlw,"['This expression has type int, it cannot be applied']","This expression has type int, it cannot be applied
"
human_eval_042_8.mlw,[],
human_eval_009_7.mlw,[],
human_eval_057_4.mlw,"[""unbound type symbol 'inc'""]","unbound type symbol 'inc'
"
human_eval_159_3.mlw,[],
human_eval_060_2.mlw,[],
human_eval_138_2.mlw,[],
human_eval_057_9.mlw,[],
human_eval_042_5.mlw,['Logical symbol fold_right is used in a non-ghost context'],"Logical symbol fold_right is used in a non-ghost context
"
human_eval_097_9.mlw,"['This expression has type int, it cannot be applied']","This expression has type int, it cannot be applied
"
human_eval_005_7.mlw,[],
human_eval_005_6.mlw,"[""unbound function or predicate symbol '(-)'""]","unbound function or predicate symbol '(-)'
"
human_eval_097_8.mlw,"['This expression has type int, it cannot be applied']","This expression has type int, it cannot be applied
"
human_eval_042_4.mlw,['Logical symbol fold_left is used in a non-ghost context'],"Logical symbol fold_left is used in a non-ghost context
"
human_eval_057_8.mlw,"[""unbound function or predicate symbol 'revsorted'""]","unbound function or predicate symbol 'revsorted'
"
human_eval_138_3.mlw,['syntax error'],"syntax error
"
human_eval_060_3.mlw,['syntax error'],"syntax error
"
human_eval_159_2.mlw,[],
human_eval_060_1.mlw,[],
human_eval_138_1.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_009_9.mlw,[],
human_eval_042_6.mlw,['Logical symbol map is used in a non-ghost context'],"Logical symbol map is used in a non-ghost context
"
human_eval_151_9.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_005_4.mlw,"[""unbound function or predicate symbol 'reverse'""]","unbound function or predicate symbol 'reverse'
"
human_eval_151_8.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_005_5.mlw,['Logical symbol fold_right is used in a non-ghost context'],"Logical symbol fold_right is used in a non-ghost context
"
human_eval_042_7.mlw,"[""unbound function or predicate symbol 'reverse'""]","unbound function or predicate symbol 'reverse'
"
human_eval_009_8.mlw,[],
human_eval_159_1.mlw,"[""unbound type symbol 'list'""]","unbound type symbol 'list'
"
human_eval_159_5.mlw,[],
human_eval_060_4.mlw,['syntax error'],"syntax error
"
human_eval_035_10.mlw,"[""unbound function or predicate symbol 'length'""]","unbound function or predicate symbol 'length'
"
human_eval_138_4.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_139_10.mlw,['syntax error'],"syntax error
"
human_eval_042_3.mlw,"[""unbound function or predicate symbol 'reverse'""]","unbound function or predicate symbol 'reverse'
"
human_eval_005_1.mlw,[],
human_eval_030_8.mlw,['Module Filter not found in library list'],"Module Filter not found in library list
"
human_eval_030_9.mlw,"[""unbound function or predicate symbol 'reverse'""]","unbound function or predicate symbol 'reverse'
"
human_eval_042_2.mlw,[],
human_eval_138_5.mlw,"[""unbound function or predicate symbol '(/)'""]","unbound function or predicate symbol '(/)'
"
human_eval_060_10.mlw,[],
human_eval_060_5.mlw,"[""unbound function or predicate symbol '(/)'""]","unbound function or predicate symbol '(/)'
"
human_eval_159_4.mlw,[],
human_eval_159_6.mlw,[],
human_eval_060_7.mlw,['syntax error'],"syntax error
"
human_eval_138_7.mlw,['Logical symbol (=) is used in a non-ghost context'],"Logical symbol (=) is used in a non-ghost context
"
human_eval_053_8.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_005_2.mlw,"[""unbound function or predicate symbol 'reverse'""]","unbound function or predicate symbol 'reverse'
"
human_eval_005_3.mlw,"[""unbound function or predicate symbol '(<)'""]","unbound function or predicate symbol '(<)'
"
human_eval_053_9.mlw,"['rosetta error: could not find free space for allocation size 399999999c000', ' /usr/local/bin/why3-wrapper.sh: line 8:    31 Trace/breakpoint trap   why3 ""$@""']","rosetta error: could not find free space for allocation size 399999999c000
 /usr/local/bin/why3-wrapper.sh: line 8:    31 Trace/breakpoint trap   why3 ""$@""
"
human_eval_042_1.mlw,[],
human_eval_138_6.mlw,[],
human_eval_060_6.mlw,['Logical symbol fold_left is used in a non-ghost context'],"Logical symbol fold_left is used in a non-ghost context
"
human_eval_159_7.mlw,[],
human_eval_008_9.mlw,[],
human_eval_139_1.mlw,['syntax error'],"syntax error
"
human_eval_035_9.mlw,"['=======================TestCases=====================', '', '    For the given implementation, some of testcases failed. Here are the list of failed testcases:', '    for input Cons ((Cons 7 (Cons 7 (Cons 3 (Cons 5 (Cons 7 (Cons 2 (Cons 7 (Cons 1 (Cons 7 (Nil)))))))))); the output we obtained with current implementation is 7; but the expected output is 7)', 'for input Cons ((Cons 0 (Cons (-10) (Cons 10 (Cons (-10) (Cons 0 (Nil)))))); the output we obtained with current implementation is 10; but the expected output is 10)', ' ', '    Please revise the current implementation to fix the problem.']","=======================TestCases=====================

    For the given implementation, some of testcases failed. Here are the list of failed testcases:
    for input Cons ((Cons 7 (Cons 7 (Cons 3 (Cons 5 (Cons 7 (Cons 2 (Cons 7 (Cons 1 (Cons 7 (Nil)))))))))); the output we obtained with current implementation is 7; but the expected output is 7)
for input Cons ((Cons 0 (Cons (-10) (Cons 10 (Cons (-10) (Cons 0 (Nil)))))); the output we obtained with current implementation is 10; but the expected output is 10)
 
    Please revise the current implementation to fix the problem.
"
human_eval_035_8.mlw,['Logical symbol map is used in a non-ghost context'],"Logical symbol map is used in a non-ghost context
"
human_eval_085_1.mlw,"['=======================TestCases=====================', '', '    For the given implementation, some of testcases failed. Here are the list of failed testcases:', '    for input Cons ((Cons 100 (Cons 101 (Cons 102 (Cons 103 (Cons 104 (Nil)))))); the output we obtained with current implementation is 204; but the expected output is 0)', 'for input Cons ((Cons 7 (Cons (-2) (Cons 5 (Cons (-4) (Cons 8 (Cons 9 (Nil))))))); the output we obtained with current implementation is 3; but the expected output is (-6))', 'for input Cons ((Cons 10 (Cons 11 (Cons 12 (Cons 13 (Cons 14 (Cons 15 (Nil))))))); the output we obtained with current implementation is 39; but the expected output is 0)', 'for input Cons ((Cons (-2) (Cons 3 (Cons (-4) (Cons 6 (Nil))))); the output we obtained with current implementation is 9; but the expected output is 6)', 'for input Cons ((Cons 1 (Cons 3 (Cons 5 (Cons 7 (Cons 9 (Nil)))))); the output we obtained with current implementation is 10; but the expected output is 0)', 'for input Cons ((Cons 4 (Cons 2 (Cons 6 (Cons 7 (Nil))))); the output we obtained with current implementation is 9; but the expected output is 2)', ' ', '    Please revise the current implementation to fix the problem.']","=======================TestCases=====================

    For the given implementation, some of testcases failed. Here are the list of failed testcases:
    for input Cons ((Cons 100 (Cons 101 (Cons 102 (Cons 103 (Cons 104 (Nil)))))); the output we obtained with current implementation is 204; but the expected output is 0)
for input Cons ((Cons 7 (Cons (-2) (Cons 5 (Cons (-4) (Cons 8 (Cons 9 (Nil))))))); the output we obtained with current implementation is 3; but the expected output is (-6))
for input Cons ((Cons 10 (Cons 11 (Cons 12 (Cons 13 (Cons 14 (Cons 15 (Nil))))))); the output we obtained with current implementation is 39; but the expected output is 0)
for input Cons ((Cons (-2) (Cons 3 (Cons (-4) (Cons 6 (Nil))))); the output we obtained with current implementation is 9; but the expected output is 6)
for input Cons ((Cons 1 (Cons 3 (Cons 5 (Cons 7 (Cons 9 (Nil)))))); the output we obtained with current implementation is 10; but the expected output is 0)
for input Cons ((Cons 4 (Cons 2 (Cons 6 (Cons 7 (Nil))))); the output we obtained with current implementation is 9; but the expected output is 2)
 
    Please revise the current implementation to fix the problem.
"
human_eval_152_10.mlw,['syntax error'],"syntax error
"
human_eval_052_10.mlw,[],
human_eval_008_8.mlw,"[""unbound type symbol 'acc_s'""]","unbound type symbol 'acc_s'
"
human_eval_031_10.mlw,['Module Division not found in library int'],"Module Division not found in library int
"
human_eval_152_8.mlw,['syntax error'],"syntax error
"
human_eval_085_10.mlw,['syntax error'],"syntax error
"
